┌─────────────┬────────────────────┬────────────────────┬────────────────────┐
│ fare_amount │      zone_avg      │      boro_avg      │      all_avg       │
│   double    │       double       │       double       │       double       │
├─────────────┼────────────────────┼────────────────────┼────────────────────┤
│        11.5 │ 11.135360796670259 │ 11.166183928202422 │ 13.141501256108317 │
│         9.5 │ 10.134989896051858 │ 11.166183928202422 │ 13.141501256108317 │
│        13.5 │  10.73713462400698 │ 11.166183928202422 │ 13.141501256108317 │
│         7.5 │ 10.992134590454327 │ 11.166183928202422 │ 13.141501256108317 │
│         8.5 │  10.73713462400698 │ 11.166183928202422 │ 13.141501256108317 │
│         5.0 │  9.304850238943523 │ 11.166183928202422 │ 13.141501256108317 │
│         4.5 │ 12.268058724826263 │ 11.166183928202422 │ 13.141501256108317 │
│         9.0 │ 10.614122976385021 │ 11.166183928202422 │ 13.141501256108317 │
│        18.0 │ 16.164544478304066 │ 11.166183928202422 │ 13.141501256108317 │
│        11.0 │ 12.268058724826263 │ 11.166183928202422 │ 13.141501256108317 │
│        22.5 │ 10.614122976385021 │ 11.166183928202422 │ 13.141501256108317 │
│         9.5 │ 12.268058724826263 │ 11.166183928202422 │ 13.141501256108317 │
│         8.5 │  9.304850238943523 │ 11.166183928202422 │ 13.141501256108317 │
│        11.0 │  11.16393718817213 │ 11.166183928202422 │ 13.141501256108317 │
│         8.5 │ 11.787668069107188 │ 11.166183928202422 │ 13.141501256108317 │
│        14.5 │ 10.782668708212697 │ 11.166183928202422 │ 13.141501256108317 │
│        12.5 │ 10.134989896051858 │ 11.166183928202422 │ 13.141501256108317 │
│         8.5 │ 17.115936281555253 │ 25.722704196890913 │ 13.141501256108317 │
│         6.5 │ 17.115936281555253 │ 25.722704196890913 │ 13.141501256108317 │
│         6.0 │ 17.115936281555253 │ 25.722704196890913 │ 13.141501256108317 │
│        52.0 │  43.87620139866722 │  35.48678138288885 │ 13.141501256108317 │
│        13.0 │  10.73713462400698 │ 11.166183928202422 │ 13.141501256108317 │
│        12.0 │ 10.134989896051858 │ 11.166183928202422 │ 13.141501256108317 │
│        30.5 │  29.97860306765986 │  35.48678138288885 │ 13.141501256108317 │
│         4.5 │  9.784515199087622 │ 11.166183928202422 │ 13.141501256108317 │
│         8.0 │  9.784515199087622 │ 11.166183928202422 │ 13.141501256108317 │
│         4.0 │ 10.885576273025427 │ 11.166183928202422 │ 13.141501256108317 │
│         4.5 │ 10.782668708212697 │ 11.166183928202422 │ 13.141501256108317 │
│         8.5 │ 11.241733410723633 │ 11.166183928202422 │ 13.141501256108317 │
│        11.5 │ 10.782668708212697 │ 11.166183928202422 │ 13.141501256108317 │
